sample,label,biol. desc.,Exp. Cond,,anal.,date,method,params,data type,data window,attention,period,period err,phase by fit,circadian phase by fit,phase to DW,circadian phase to DW,phase err,amplitude by fit,amplitude err,phase method specific,circadian phase method specific,phase to DW,circadian phase to DW,phase err,amplitude method specific,amplitude err,phase by averaged peaks,circadian phase by averaged peaks,phase to DW,circadian phase to DW,phase err,amplitude by averaged peaks,amplitude err,phase by first peak,circadian phase by first peak,phase to DW,circadian phase to DW,phase err,amplitude by first peak,amplitude err,GOF,ERR
19. [T],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.46,0,1.52,1.491414554,3.36,3.29681112,0,33160,0,1.52,1.491414554,3.36,3.29681112,0,33160,0,0.55,0.539656582,2.39,2.345053148,3.14,33623,12056,1.66,1.628781684,3.5,3.43417825,0,29360,0,0.498539,0.498539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20. [U],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,26.58,0,15.91,14.36568849,26.23,23.68397291,0,83924,0,15.91,14.36568849,26.23,23.68397291,0,83924,0,15.08,13.61625282,25.4,22.93453725,7.297,131866,63537,15.28,13.79683973,25.6,23.11512415,0,150178,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21. [V],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.56,0,5.88,5.989813243,4.12,4.196943973,0,145771,0,5.88,5.989813243,4.12,4.196943973,0,145771,0,4.88,4.971137521,3.12,3.178268251,0.226274,121827,37441,4.96,5.052631579,3.2,3.259762309,0,108590,0,0.572976,0.572976
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22. [W],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.5,0,7.21,7.363404255,5.21,5.320851064,0,146659,0,7.21,7.363404255,5.21,5.320851064,0,146659,0,6.65,6.791489362,4.65,4.74893617,0.141421,120083,51350,6.7,6.842553191,4.7,4.8,0,101928,0,0.567768,0.567768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23. [X],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,26.14,0,19.13,17.56388676,1.55,1.42310635,0,25908,0,19.13,17.56388676,1.55,1.42310635,0,25908,0,19.14,17.57306809,1.56,1.432287682,0.848528,33392,6930,19.44,17.84850803,1.86,1.707727621,0,31191,0,0.490342,0.490342
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24. [Y],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,28.52,0,10.01,8.423562412,28.09,23.63814867,0,50882,0,10.01,8.423562412,28.09,23.63814867,0,50882,0,6.16,5.183730715,24.24,20.39831697,6.958,84835,33208,8.62,7.253856942,26.7,22.4684432,0,96576,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25. [Z],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.5,0,6.67,6.811914894,4.67,4.769361702,0,139639,0,6.67,6.811914894,4.67,4.769361702,0,139639,0,5.45,5.565957447,3.45,3.523404255,0.141421,143196,4754,5.4,5.514893617,3.4,3.472340426,0,141515,0,0.371938,0.371938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26. [AA],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24,0,3.57,3.57,3.57,3.57,0,125674,0,3.57,3.57,3.57,3.57,0,125674,0,2.25,2.25,2.25,2.25,2.687,115142,37254,3.2,3.2,3.2,3.2,0,101970,0,0.504438,0.504438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27. [AB],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,21.26,0,18.37,20.73753528,7.41,8.365004704,0,114211,0,18.37,20.73753528,7.41,8.365004704,0,114211,0,13.88,15.66886171,2.92,3.296331138,5.405,161291,122838,12.36,13.95296331,1.4,1.580432738,0,117057,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. [AC],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,26.16,0,19.4,17.79816514,1.88,1.724770642,0,14110,0,19.4,17.79816514,1.88,1.724770642,0,14110,0,19.54,17.9266055,2.02,1.853211009,1.754,20009,7227,20.16,18.49541284,2.64,2.422018349,0,19112,0,0.824541,0.824541
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29. [AD],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24,0,3.48,3.48,3.48,3.48,0,41649,0,3.48,3.48,3.48,3.48,0,41649,0,2.05,2.05,2.05,2.05,2.121,35752,11435,2.8,2.8,2.8,2.8,0,33483,0,0.554243,0.554243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30. [AE],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.9,0,5.28,5.30209205,4.88,4.90041841,0,99702,0,5.28,5.30209205,4.88,4.90041841,0,99702,0,4.05,4.066945607,3.65,3.665271967,0.141421,91579,8176,4,4.016736402,3.6,3.615062762,0,88688,0,0.518022,0.518022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31. [AF],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.9,0,4.99,5.010878661,4.59,4.609205021,0,90911,0,4.99,5.010878661,4.59,4.609205021,0,90911,0,3.95,3.966527197,3.55,3.564853556,0.424264,82398,16860,4.1,4.117154812,3.7,3.715481172,0,76437,0,0.396006,0.396006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32. [AG],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,28.98,0,8.74,7.238095238,28.66,23.73498965,0,42460,0,8.74,7.238095238,28.66,23.73498965,0,42460,0,5.74,4.753623188,25.66,21.2505176,7.75,48315,20953,8.48,7.022774327,28.4,23.51966874,0,40907,0,0.466561,0.466561
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33. [AH],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,25.14,0,21.46,20.48687351,0.88,0.840095465,0,165324,0,21.46,20.48687351,0.88,0.840095465,0,165324,0,21.84,20.849642,1.26,1.202863962,0.565685,179272,37573,21.64,20.65871122,1.06,1.011933174,0,165988,0,0.517552,0.517552
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34. [AI],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.96,0,4.76,4.767946578,4.6,4.607679466,0,82447,0,4.76,4.767946578,4.6,4.607679466,0,82447,0,3.98,3.986644407,3.82,3.826377295,1.075,82020,30929,4.36,4.367278798,4.2,4.207011686,0,71085,0,0.346807,0.346807
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35. [AJ],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.68,0,24.5,23.82495948,2.54,2.470016207,0,82655,0,24.5,23.82495948,2.54,2.470016207,0,82655,0,23.09,22.45380875,1.13,1.098865478,0.537401,83867,39991,23.58,22.93030794,1.62,1.575364668,0,69831,0,0.680662,0.680662
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36. [AK],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.84,0,5.22,5.255033557,4.58,4.610738255,0,50081,0,5.22,5.255033557,4.58,4.610738255,0,50081,0,5.72,5.758389262,5.08,5.11409396,1.754,44928,24772,6.34,6.382550336,5.7,5.738255034,0,36170,0,0.597431,0.597431
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37. [AL],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,25.14,0,23.13,22.08114558,2.55,2.434367542,0,120048,0,23.13,22.08114558,2.55,2.434367542,0,120048,0,21.87,20.87828162,1.29,1.23150358,0.084853,117462,43749,22.14,21.13603819,1.56,1.489260143,0,102254,0,0.47723,0.47723
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38. [AM],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,26.02,0,20.36,18.77940046,2.42,2.232129131,0,27970,0,20.36,18.77940046,2.42,2.232129131,0,27970,0,19.62,18.09684858,1.68,1.549577248,1.131,24910,7996,20.02,18.46579554,2.08,1.918524212,0,22436,0,0.536457,0.536457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
